"date","SP500","VIX","US10Y"
2008-03-22,1315.21997070312,25.7099990844727,3.46600008010864
2008-03-29,1370.40002441406,22.4500007629395,3.48099994659424
2008-04-05,1332.82995605469,23.4599990844727,3.47099995613098
2008-04-12,1390.32995605469,20.1299991607666,3.74300003051758
2008-04-19,1397.83996582031,19.5900001525879,3.8659999370575
2008-04-26,1413.90002441406,18.1800003051758,3.84500002861023
2008-05-03,1388.28002929688,19.4099998474121,3.76699995994568
2008-05-10,1425.34997558594,16.4699993133545,3.84999990463257
2008-05-17,1375.93005371094,19.5499992370605,3.83100008964539
2008-05-24,1400.38000488281,17.8299999237061,4.0460000038147
2008-05-31,1360.68005371094,23.5599994659424,3.93799996376038
2008-06-07,1360.03002929688,21.2199993133545,4.26100015640259
2008-06-14,1317.93005371094,22.8700008392334,4.13700008392334
2008-06-21,1278.38000488281,23.4400005340576,3.99000000953674
2008-06-28,1262.90002441406,24.7800006866455,3.97300004959106
2008-07-05,1239.48999023438,27.4899997711182,3.94000005722046
2008-07-12,1260.68005371094,24.0499992370605,4.08099985122681
2008-07-19,1257.76000976562,22.9099998474121,4.11100006103516
2008-07-26,1260.31005859375,22.5699996948242,3.94799995422363
2008-08-02,1296.31994628906,20.6599998474121,3.95000004768372
2008-08-09,1298.19995117188,19.5799999237061,3.85199999809265
2008-08-16,1292.19995117188,18.8099994659424,3.86700010299683
2008-08-23,1282.82995605469,20.6499996185303,3.81299996376038
2008-08-30,1242.31005859375,23.0599994659424,3.66000008583069
2008-09-06,1251.69995117188,25.6599998474121,3.73000001907349
2008-09-13,1255.07995605469,32.0699996948242,3.76900005340576
2008-09-20,1213.27001953125,34.7400016784668,3.82699990272522
2008-09-27,1099.22998046875,45.1399993896484,3.64400005340576
2008-10-04,899.219970703125,69.9499969482422,3.86100006103516
2008-10-11,940.549987792969,70.3300018310547,3.93799996376038
2008-10-18,876.77001953125,79.129997253418,3.69700002670288
2008-10-25,968.75,59.8899993896484,3.97000002861023
2008-11-01,930.989990234375,56.0999984741211,3.77999997138977
2008-11-08,873.289978027344,66.3099975585938,3.75
2008-11-15,800.030029296875,72.6699981689453,3.16700005531311
2008-11-22,896.239990234375,55.2799987792969,2.95700001716614
2008-11-29,876.070007324219,59.9300003051758,2.65700006484985
2008-12-06,879.72998046875,54.2799987792969,2.58899998664856
2008-12-13,887.880004882812,44.9300003051758,2.13100004196167
2008-12-20,872.799987792969,43.3800010681152,2.13700008392334
2008-12-27,931.799987792969,39.189998626709,2.41599988937378
2009-01-03,890.349975585938,42.8199996948242,2.40700006484985
2009-01-10,850.119995117188,46.1100006103516,2.30399990081787
2009-01-17,831.950012207031,47.2700004577637,2.62199997901917
2009-01-24,825.880004882812,44.8400001525879,2.84400010108948
2009-01-31,868.599975585938,43.3699989318848,2.97900009155273
2009-02-07,826.840026855469,42.9300003051758,2.88199996948242
2009-02-14,770.049987792969,49.2999992370605,2.7720000743866
2009-02-21,735.090026855469,46.3499984741211,3.04099988937378
2009-02-28,683.380004882812,49.3300018310547,2.82800006866455
2009-03-07,756.549987792969,42.3600006103516,2.88499999046326
2009-03-14,768.539978027344,45.8899993896484,2.625
2009-03-21,815.940002441406,41.0400009155273,2.76099991798401
2009-03-28,842.5,39.7000007629395,2.90700006484985
2009-04-04,856.559997558594,36.5299987792969,2.92600011825562
2009-04-11,869.599975585938,33.939998626709,2.9300000667572
2009-04-18,866.22998046875,36.8199996948242,2.99600005149841
2009-04-25,877.52001953125,35.2999992370605,3.17400002479553
2009-05-02,929.22998046875,32.0499992370605,3.29299998283386
2009-05-09,882.880004882812,33.1199989318848,3.12299990653992
2009-05-16,887,32.6300010681152,3.44799995422363
2009-05-23,919.140014648438,28.9200000762939,3.46499991416931
2009-05-30,940.090026855469,29.6200008392334,3.86199998855591
2009-06-06,946.210021972656,28.1499996185303,3.78800010681152
2009-06-13,921.22998046875,27.9899997711182,3.78900003433228
2009-06-20,918.900024414062,25.9300003051758,3.50600004196167
2009-06-27,896.419982910156,27.9500007629395,3.49499988555908
2009-07-04,879.130004882812,29.0200004577637,3.29500007629395
2009-07-11,940.380004882812,24.3400001525879,3.65100002288818
2009-07-18,979.260009765625,23.0900001525879,3.67000007629395
2009-07-25,987.47998046875,25.9200000762939,3.50099992752075
2009-08-01,1010.47998046875,24.7600002288818,3.85400009155273
2009-08-08,1004.09002685547,24.2700004577637,3.55800008773804
2009-08-15,1026.13000488281,25.0100002288818,3.55599999427795
2009-08-22,1028.93005371094,24.7600002288818,3.45099997520447
2009-08-29,1016.40002441406,25.2600002288818,3.44199991226196
2009-09-05,1042.72998046875,24.1499996185303,3.34299993515015
2009-09-12,1068.30004882812,23.9200000762939,3.47399997711182
2009-09-19,1044.38000488281,25.6100006103516,3.3289999961853
2009-09-26,1025.2099609375,28.6800003051758,3.22099995613098
2009-10-03,1071.48999023438,23.1200008392334,3.3840000629425
2009-10-10,1087.68005371094,21.4300003051758,3.41700005531311
2009-10-17,1079.59997558594,22.2700004577637,3.47499990463257
2009-10-24,1036.18994140625,30.6900005340576,3.39199995994568
2009-10-31,1069.30004882812,24.1900005340576,3.50300002098083
2009-11-07,1093.47998046875,23.3600006103516,3.42899990081787
2009-11-14,1091.38000488281,22.1900005340576,3.35599994659424
2009-11-21,1091.48999023438,24.7399997711182,3.23099994659424
2009-11-28,1105.97998046875,21.25,3.48300004005432
2009-12-05,1106.41003417969,21.5900001525879,3.53999996185303
2009-12-12,1102.46997070312,21.6800003051758,3.5460000038147
2009-12-19,1126.47998046875,19.4699993133545,3.80699992179871
2009-12-26,1115.09997558594,21.6800003051758,3.84299993515015
2010-01-02,1144.97998046875,18.1299991607666,3.80800008773804
2010-01-09,1136.03002929688,17.9099998474121,3.67600011825562
2010-01-16,1091.76000976562,27.3099994659424,3.59800004959106
2010-01-23,1073.86999511719,24.6200008392334,3.60899996757507
2010-01-30,1066.18994140625,26.1100006103516,3.5460000038147
2010-02-06,1075.51000976562,22.7299995422363,3.69300007820129
2010-02-13,1109.17004394531,20.0200004577637,3.78200006484985
2010-02-20,1104.48999023438,19.5,3.59500002861023
2010-02-27,1138.69995117188,17.4200000762939,3.68199992179871
2010-03-06,1149.98999023438,17.5799999237061,3.71000003814697
2010-03-13,1159.90002441406,16.9699993133545,3.68700003623962
2010-03-20,1166.58996582031,17.7700004577637,3.85500001907349
2010-03-27,1178.09997558594,17.4699993133545,3.85899996757507
2010-04-03,1194.36999511719,16.1399993896484,3.88800001144409
2010-04-10,1192.13000488281,18.3600006103516,3.76999998092651
2010-04-17,1217.28002929688,16.6200008392334,3.81699991226196
2010-04-24,1186.68994140625,22.0499992370605,3.66300010681152
2010-05-01,1110.88000488281,40.9500007629395,3.42899990081787
2010-05-08,1135.68005371094,31.2399997711182,3.44199991226196
2010-05-15,1087.68994140625,40.0999984741211,3.20000004768372
2010-05-22,1089.41003417969,32.0699996948242,3.30100011825562
2010-05-29,1064.88000488281,35.4799995422363,3.1949999332428
2010-06-05,1091.59997558594,28.7900009155273,3.21600008010864
2010-06-12,1117.51000976562,23.9500007629395,3.22300004959106
2010-06-19,1076.76000976562,28.5300006866455,3.11299991607666
2010-06-26,1022.58001708984,30.1200008392334,2.97900009155273
2010-07-03,1077.9599609375,24.9799995422363,3.05599999427795
2010-07-10,1064.88000488281,26.25,2.93899989128113
2010-07-17,1102.66003417969,23.4699993133545,2.99399995803833
2010-07-24,1101.59997558594,23.5,2.90700006484985
2010-07-31,1121.64001464844,21.7399997711182,2.82399988174438
2010-08-07,1079.25,26.2399997711182,2.68799996376038
2010-08-14,1071.68994140625,25.4899997711182,2.61199998855591
2010-08-21,1064.58996582031,24.4500007629395,2.65199995040894
2010-08-28,1104.51000976562,21.3099994659424,2.70600008964539
2010-09-04,1109.55004882812,21.9899997711182,2.79500007629395
2010-09-11,1125.58996582031,22.0100002288818,2.74600005149841
2010-09-18,1148.67004394531,21.7099990844727,2.61199998855591
2010-09-25,1146.23999023438,22.5,2.52600002288818
2010-10-02,1165.15002441406,20.7099990844727,2.38100004196167
2010-10-09,1176.18994140625,19.0300006866455,2.57599997520447
2010-10-16,1183.07995605469,18.7800006866455,2.56299996376038
2010-10-23,1183.26000976562,21.2000007629395,2.61199998855591
2010-10-30,1225.84997558594,18.2600002288818,2.53600001335144
2010-11-06,1199.2099609375,20.6100006103516,2.75600004196167
2010-11-13,1199.72998046875,18.0400009155273,2.875
2010-11-20,1189.40002441406,22.2199993133545,2.86400008201599
2010-11-27,1224.7099609375,18.0100002288818,3.01699995994568
2010-12-04,1240.40002441406,17.6100006103516,3.2960000038147
2010-12-11,1243.91003417969,16.1100006103516,3.32999992370605
2010-12-18,1256.77001953125,16.4699993133545,3.39299988746643
2010-12-25,1257.64001464844,17.75,3.3050000667572
2011-01-01,1271.5,17.1399993896484,3.32800006866455
2011-01-08,1293.23999023438,15.460000038147,3.33299994468689
2011-01-15,1283.34997558594,18.4699993133545,3.41599988937378
2011-01-22,1276.33996582031,20.0400009155273,3.3289999961853
2011-01-29,1310.86999511719,15.9300003051758,3.65199995040894
2011-02-05,1329.15002441406,15.6899995803833,3.64599990844727
2011-02-12,1343.01000976562,16.4300003051758,3.58899998664856
2011-02-19,1319.88000488281,19.2199993133545,3.42499995231628
2011-02-26,1321.15002441406,19.0599994659424,3.49200010299683
2011-03-05,1304.28002929688,20.0799999237061,3.39299988746643
2011-03-12,1279.2099609375,24.4400005340576,3.27699995040894
2011-03-19,1313.80004882812,17.9099998474121,3.44400000572205
2011-03-26,1332.41003417969,17.3999996185303,3.45099997520447
2011-04-02,1328.17004394531,17.8700008392334,3.5699999332428
2011-04-09,1319.68005371094,15.3199996948242,3.41000008583069
2011-04-16,1337.38000488281,14.6899995803833,3.40000009536743
2011-04-23,1363.60998535156,14.75,3.2960000038147
2011-04-30,1340.19995117188,18.3999996185303,3.15700006484985
2011-05-07,1337.77001953125,17.0699996948242,3.18700003623962
2011-05-14,1333.27001953125,17.4300003051758,3.15199995040894
2011-05-21,1331.09997558594,15.9799995422363,3.06399989128113
2011-05-28,1300.16003417969,17.9500007629395,2.99699997901917
2011-06-04,1270.97998046875,18.8600006103516,2.97099995613098
2011-06-11,1271.5,21.8500003814697,2.94400000572205
2011-06-18,1268.44995117188,21.1000003814697,2.87100005149841
2011-06-25,1339.67004394531,15.8699998855591,3.19700002670288
2011-07-02,1343.80004882812,15.9499998092651,3.01600003242493
2011-07-09,1316.14001464844,19.5300006866455,2.90799999237061
2011-07-16,1345.02001953125,17.5200004577637,2.96399998664856
2011-07-23,1292.28002929688,25.25,2.8050000667572
2011-07-30,1199.38000488281,32,2.55800008773804
2011-08-06,1178.81005859375,36.3600006103516,2.23699998855591
2011-08-13,1123.53002929688,43.0499992370605,2.07100009918213
2011-08-20,1176.80004882812,35.5900001525879,2.18799996376038
2011-08-27,1173.96997070312,33.9199981689453,1.99600005149841
2011-09-03,1154.22998046875,38.5200004577637,1.91499996185303
2011-09-10,1216.01000976562,30.9799995422363,2.07599997520447
2011-09-17,1136.43005371094,41.25,1.80799996852875
2011-09-24,1131.42004394531,42.9599990844727,1.92400002479553
2011-10-01,1155.4599609375,36.2000007629395,2.06800007820129
2011-10-08,1224.57995605469,28.2399997711182,2.23200011253357
2011-10-15,1238.25,31.3199996948242,2.20300006866455
2011-10-22,1285.08996582031,24.5300006866455,2.30599999427795
2011-10-29,1253.22998046875,30.1599998474121,2.04999995231628
2011-11-05,1263.84997558594,30.0400009155273,2.05599999427795
2011-11-12,1215.65002441406,32,2.01200008392334
2011-11-19,1158.67004394531,34.4700012207031,1.96700000762939
2011-11-26,1244.28002929688,27.5200004577637,2.04200005531311
2011-12-03,1255.18994140625,26.3799991607666,2.05200004577637
2011-12-10,1219.66003417969,24.2900009155273,1.85399997234344
2011-12-17,1265.32995605469,20.7299995422363,2.02999997138977
2011-12-24,1257.59997558594,23.3999996185303,1.87100005149841
2011-12-31,1277.81005859375,20.6299991607666,1.96099996566772
2012-01-07,1289.08996582031,20.9099998474121,1.85300004482269
2012-01-14,1315.38000488281,18.2800006866455,2.02800011634827
2012-01-21,1316.32995605469,18.5300006866455,1.89800000190735
2012-01-28,1344.90002441406,17.1000003814697,1.94900000095367
2012-02-04,1342.64001464844,20.7900009155273,1.96899998188019
2012-02-11,1361.22998046875,17.7800006866455,2.00999999046326
2012-02-18,1365.73999023438,17.3099994659424,1.97699999809265
2012-02-25,1369.63000488281,17.2900009155273,1.98599994182587
2012-03-03,1370.86999511719,17.1100006103516,2.03800010681152
2012-03-10,1404.17004394531,14.4700002670288,2.29800009727478
2012-03-17,1397.10998535156,14.8199996948242,2.23699998855591
2012-03-24,1408.46997070312,15.5,2.21600008010864
2012-03-31,1398.07995605469,16.7000007629395,2.17499995231628
2012-04-07,1370.26000976562,19.5499992370605,1.99800002574921
2012-04-14,1378.53002929688,17.4400005340576,1.97000002861023
2012-04-21,1403.35998535156,16.3199996948242,1.93299996852875
2012-04-28,1369.09997558594,19.1599998474121,1.87999999523163
2012-05-05,1353.39001464844,19.8899993896484,1.84099996089935
2012-05-12,1295.21997070312,25.1000003814697,1.70200002193451
2012-05-19,1317.81994628906,21.7600002288818,1.74500000476837
2012-05-26,1278.0400390625,26.6599998474121,1.46700000762939
2012-06-02,1325.66003417969,21.2299995422363,1.63699996471405
2012-06-09,1342.83996582031,21.1100006103516,1.58700001239777
2012-06-16,1335.02001953125,18.1100006103516,1.67200005054474
2012-06-23,1362.16003417969,17.0799999237061,1.65900003910065
2012-06-30,1354.68005371094,17.1000003814697,1.5440000295639
2012-07-07,1356.78002929688,16.7399997711182,1.49899995326996
2012-07-14,1362.66003417969,16.2700004577637,1.46000003814697
2012-07-21,1385.96997070312,16.7000007629395,1.55499994754791
2012-07-28,1390.98999023438,15.6400003433228,1.57700002193451
2012-08-04,1405.86999511719,14.7399997711182,1.64900004863739
2012-08-11,1418.16003417969,13.4499998092651,1.81599998474121
2012-08-18,1411.13000488281,15.1800003051758,1.67799997329712
2012-08-25,1406.57995605469,17.4699993133545,1.56200003623962
2012-09-01,1437.92004394531,14.3800001144409,1.66100001335144
2012-09-08,1465.77001953125,14.5100002288818,1.87000000476837
2012-09-15,1460.15002441406,13.9799995422363,1.75999999046326
2012-09-22,1440.67004394531,15.7299995422363,1.63699996471405
2012-09-29,1460.93005371094,14.3299999237061,1.73199999332428
2012-10-06,1428.58996582031,16.1399993896484,1.66299998760223
2012-10-13,1433.18994140625,17.0599994659424,1.76800000667572
2012-10-20,1411.93994140625,17.8099994659424,1.75
2012-10-27,1414.19995117188,17.5900001525879,1.72599995136261
2012-11-03,1379.84997558594,18.6100006103516,1.61300003528595
2012-11-10,1359.88000488281,16.4099998474121,1.57400000095367
2012-11-17,1409.15002441406,15.1400003433228,1.692999958992
2012-11-24,1416.18005371094,15.8699998855591,1.60599994659424
2012-12-01,1418.06994628906,15.8999996185303,1.62699997425079
2012-12-08,1413.57995605469,17,1.70799994468689
2012-12-15,1430.15002441406,17.8400001525879,1.75399994850159
2012-12-22,1402.43005371094,22.7199993133545,1.71099996566772
2012-12-29,1466.46997070312,13.8299999237061,1.91499996185303
2013-01-05,1472.05004882812,13.3599996566772,1.875
2013-01-12,1485.97998046875,12.460000038147,1.84300005435944
2013-01-19,1502.9599609375,12.8900003433228,1.94700002670288
2013-01-26,1513.17004394531,12.8999996185303,2.00999999046326
2013-02-02,1517.93005371094,13.0200004577637,1.9539999961853
2013-02-09,1519.7900390625,12.460000038147,2.00699996948242
2013-02-16,1515.59997558594,14.1700000762939,1.96700000762939
2013-02-23,1518.19995117188,15.3599996566772,1.85300004482269
2013-03-02,1551.18005371094,12.5900001525879,2.05599999427795
2013-03-09,1560.69995117188,11.3000001907349,1.99600005149841
2013-03-16,1556.89001464844,13.5699996948242,1.91499996185303
2013-03-23,1569.18994140625,12.6999998092651,1.85199999809265
2013-03-30,1553.28002929688,13.9200000762939,1.69400000572205
2013-04-06,1588.84997558594,12.0600004196167,1.72099995613098
2013-04-13,1555.25,14.9700002670288,1.70299994945526
2013-04-20,1582.23999023438,13.6099996566772,1.66299998760223
2013-04-27,1614.42004394531,12.8500003814697,1.75199997425079
2013-05-04,1633.69995117188,12.5900001525879,1.89999997615814
2013-05-11,1667.46997070312,12.4499998092651,1.94900000095367
2013-05-18,1649.59997558594,13.9899997711182,2.01099991798401
2013-05-25,1630.73999023438,16.2999992370605,2.16400003433228
2013-06-01,1643.38000488281,15.1400003433228,2.16100001335144
2013-06-08,1626.72998046875,17.1499996185303,2.12599992752075
2013-06-15,1592.43005371094,18.8999996185303,2.51399993896484
2013-06-22,1606.28002929688,16.8600006103516,2.4779999256134
2013-06-29,1631.89001464844,14.8900003433228,2.71499991416931
2013-07-06,1680.18994140625,13.8400001525879,2.6010000705719
2013-07-13,1692.08996582031,12.539999961853,2.4909999370575
2013-07-20,1691.65002441406,12.7200002670288,2.56100010871887
2013-07-27,1709.67004394531,11.9799995422363,2.60199999809265
2013-08-03,1691.42004394531,13.4099998474121,2.57999992370605
2013-08-10,1655.82995605469,14.3699998855591,2.8289999961853
2013-08-17,1663.5,13.9799995422363,2.81800007820129
2013-08-24,1632.96997070312,17.0100002288818,2.74900007247925
2013-08-31,1655.17004394531,15.8500003814697,2.93799996376038
2013-09-07,1687.98999023438,14.1599998474121,2.89800000190735
2013-09-14,1709.91003417969,13.1199998855591,2.73200011253357
2013-09-21,1691.75,15.460000038147,2.61899995803833
2013-09-28,1690.5,16.7399997711182,2.65199995040894
2013-10-05,1703.19995117188,15.7200002670288,2.68199992179871
2013-10-12,1744.5,13.039999961853,2.58899998664856
2013-10-19,1759.77001953125,13.0900001525879,2.50300002098083
2013-10-26,1761.64001464844,13.2799997329712,2.61999988555908
2013-11-02,1770.60998535156,12.8999996185303,2.74600005149841
2013-11-09,1798.18005371094,12.1899995803833,2.70900011062622
2013-11-16,1804.76000976562,12.2600002288818,2.75200009346008
2013-11-23,1805.81005859375,13.6999998092651,2.7409999370575
2013-11-30,1805.08996582031,13.789999961853,2.88299989700317
2013-12-07,1775.31994628906,15.7600002288818,2.86800003051758
